ArchiveDate,Adult_Child,Speciality,care_type,0_6_months,6_12_months,12_18_months,18_plus_months,wait_total
7/27/2023,Adult,Pain Relief,ipdc,"3,360","1,221",428,346,"5,354"
7/27/2023,Adult,Plastic Surgery,ipdc,"3,337","1,248",621,900,"6,106"
7/27/2023,Adult,Radiology,ipdc,67,2,4,4,76
7/27/2023,Adult,Respiratory Medicine,ipdc,742,90,96,15,943
7/27/2023,Adult,Rheumatology,ipdc,423,106,72,19,620
7/27/2023,Adult,Small Volume Specialties,ipdc,7,0,0,0,7
7/27/2023,Adult,Urology,ipdc,"5,510","1,230",426,640,"7,806"
7/27/2023,Adult,Vascular Surgery,ipdc,"1,145",314,110,103,"1,672"
7/27/2023,Child,Cardio-Thoracic Surgery,ipdc,64,4,4,2,74
7/27/2023,Child,Clinical Immunology,ipdc,125,121,109,54,409
7/27/2023,Child,Dental Surgery,ipdc,160,53,46,47,306
7/27/2023,Child,General Surgery,ipdc,177,46,19,23,265
7/27/2023,Child,Immunology,ipdc,39,10,19,16,84
7/27/2023,Child,Maxillo-Facial,ipdc,82,70,38,20,210
7/27/2023,Child,Ophthalmology,ipdc,453,283,88,66,890
7/27/2023,Child,Orthopaedics,ipdc,193,83,60,23,359
7/27/2023,Child,Otolaryngology (ENT),ipdc,"1,164",158,32,15,"1,369"
7/27/2023,Child,Paed Cardiology,ipdc,137,60,8,2,207
7/27/2023,Child,Paed Orthopaedic,ipdc,411,176,98,187,872
7/27/2023,Child,Paediatric ENT,ipdc,673,106,42,19,840
7/27/2023,Child,Paediatric Neurosurgery,ipdc,28,11,4,2,44
7/27/2023,Child,Paediatric Radiology,ipdc,8,11,14,25,57
7/27/2023,Child,Paediatric Respiratory Medicine,ipdc,469,296,243,330,"1,338"
7/27/2023,Child,Paediatric Surgery,ipdc,512,205,44,19,780
7/27/2023,Child,Paediatric Urology,ipdc,252,127,33,94,506
7/27/2023,Child,Paediatrics,ipdc,93,31,6,6,136
7/27/2023,Child,Plastic Surgery,ipdc,261,83,50,60,454
7/27/2023,Child,Rheumatology,ipdc,38,32,4,2,76
7/27/2023,Child,Small Volume Specialties,ipdc,77,15,8,2,102
7/27/2023,Child,Urology,ipdc,244,82,22,10,358
8/31/2023,Adult,Breast Surgery,op,"2,110",10,0,0,"2,120"
8/31/2023,Adult,Cardio-Thoracic Surgery,op,345,41,26,24,436
8/31/2023,Adult,Cardiology,op,"22,051","8,967","3,868","1,712","36,598"
8/31/2023,Adult,Chemical Pathology,op,39,7,0,0,46
8/31/2023,Adult,Clinical (Medical) Genetics,op,878,741,704,733,"3,056"
8/31/2023,Adult,Clinical Immunology,op,"1,281",661,454,17,"2,413"
8/31/2023,Adult,Clinical Neurophysiology,op,625,401,414,289,"1,729"
8/31/2023,Adult,Dermatology,op,"27,056","9,247","4,336","5,814","46,453"
8/31/2023,Adult,Diabetes Mellitus,op,"1,248",410,143,87,"1,888"
8/31/2023,Adult,Endocrinology,op,"8,233","4,110","3,068","4,601","20,012"
8/31/2023,Adult,Gastro-Enterology,op,"11,192","3,779","1,168",602,"16,741"
8/31/2023,Adult,Gastro-Intestinal Surgery,op,137,82,24,12,255
8/31/2023,Adult,General Medicine,op,"10,193","4,270","2,395","2,250","19,108"
8/31/2023,Adult,General Surgery,op,"26,525","5,805","2,130","1,364","35,824"
8/31/2023,Adult,Geriatric Medicine,op,"3,343",457,104,94,"3,998"
8/31/2023,Adult,Gynaecology,op,"22,204","4,892","1,384",968,"29,448"
8/31/2023,Adult,Haematology,op,"5,448","1,877",996,781,"9,102"
8/31/2023,Adult,Hepato-Biliary Surgery,op,92,18,2,0,112
8/31/2023,Adult,Infectious Diseases,op,877,489,2,2,"1,370"
8/31/2023,Adult,Maxillo-Facial,op,"1,710",651,466,"1,093","3,920"
8/31/2023,Adult,Metabolic Medicine,op,114,20,4,2,141
8/31/2023,Adult,Microbiology,op,28,0,0,2,30
8/31/2023,Adult,Nephrology,op,"2,774",591,248,293,"3,906"
8/31/2023,Adult,Neurology,op,"10,546","4,842","2,489","5,125","23,002"
8/31/2023,Adult,Neurosurgery,op,"3,939","2,177","1,256","2,701","10,073"
8/31/2023,Adult,Oncology,op,577,11,0,0,588
8/31/2023,Adult,Ophthalmology,op,"16,502","6,972","3,562","6,013","33,049"
8/31/2023,Adult,Orthopaedics,op,"34,290","17,109","7,960","6,231","65,590"
8/31/2023,Adult,Otolaryngology (ENT),op,"19,614","9,091","3,869","5,705","38,279"
8/31/2023,Adult,Paediatric Dermatology,op,17,29,2,0,48
8/31/2023,Adult,Paediatric ENT,op,11,13,2,0,27
8/31/2023,Adult,Paediatric Neurology,op,11,9,2,0,23
8/31/2023,Adult,Paediatrics,op,103,73,41,9,226
8/31/2023,Adult,Pain Relief,op,"5,930","3,550","1,932","3,633","15,045"
8/31/2023,Adult,Palliative Medicine,op,26,7,0,0,33
8/31/2023,Adult,Pathology,op,53,38,40,62,193
8/31/2023,Adult,Plastic Surgery,op,"8,562","2,989","1,472","3,590","16,613"
8/31/2023,Adult,Psychiatry,op,428,22,8,0,458
8/31/2023,Adult,Radiology,op,61,2,0,2,66
8/31/2023,Adult,Radiotherapy,op,50,0,0,0,50
8/31/2023,Adult,Respiratory Medicine,op,"11,828","5,221","2,036","2,615","21,700"
8/31/2023,Adult,Rheumatology,op,"8,467","2,699","1,383","2,081","14,630"
8/31/2023,Adult,Small Volume Specialities,op,89,25,9,4,127
8/31/2023,Adult,Urology,op,"12,875","5,045","2,014","3,569","23,503"
8/31/2023,Adult,Vascular Surgery,op,"8,482","2,612","1,874","1,402","14,370"
8/31/2023,Child,Cardio-Thoracic Surgery,op,42,2,2,0,46
8/31/2023,Child,Cardiology,op,41,18,4,14,76
8/31/2023,Child,Clinical (Medical) Genetics,op,509,337,248,23,"1,117"
8/31/2023,Child,Clinical Immunology,op,362,207,80,177,826
8/31/2023,Child,Dental Surgery,op,212,79,50,14,355
8/31/2023,Child,Dermatology,op,"1,557",521,366,694,"3,138"
8/31/2023,Child,Developmental Paediatrics,op,372,223,220,281,"1,096"
8/31/2023,Child,Gastro-Enterology,op,26,4,0,0,29
8/31/2023,Child,General Medicine,op,23,4,0,2,28
8/31/2023,Child,General Surgery,op,837,359,158,151,"1,505"
8/31/2023,Child,Gynaecology,op,495,149,57,7,708
8/31/2023,Child,Haematology,op,80,14,4,0,98
8/31/2023,Child,Immunology,op,243,60,13,2,318
8/31/2023,Child,Maxillo-Facial,op,195,98,47,79,419
8/31/2023,Child,Neurology,op,22,8,4,2,35
8/31/2023,Child,Ophthalmology,op,"1,992",803,421,646,"3,862"
8/31/2023,Child,Orthopaedics,op,"1,521",660,325,441,"2,947"
8/31/2023,Child,Otolaryngology (ENT),op,"5,286","2,668",809,507,"9,270"
8/31/2023,Child,Paed Cardiology,op,"2,200","1,380",663,336,"4,579"
8/31/2023,Child,Paed Endocrinology,op,500,159,21,27,707
8/31/2023,Child,Paed Gastro-Enterol,op,612,187,65,79,943
8/31/2023,Child,Paed Haematology,op,255,33,2,0,290
8/31/2023,Child,Paed Metabolic Medicine,op,54,2,4,0,59
8/31/2023,Child,Paed Nephrology,op,300,148,31,2,481
8/31/2023,Child,Paed Orthopaedic,op,"1,817","1,015",616,573,"4,021"
8/31/2023,Child,Paediatric Dermatology,op,"2,997","1,434",938,"1,233","6,602"
8/31/2023,Child,Paediatric ENT,op,"3,188","1,996",730,"1,209","7,123"
8/31/2023,Child,Paediatric Infectious Diseases,op,52,4,2,0,57
8/31/2023,Child,Paediatric Neurology,op,698,341,17,2,"1,058"
8/31/2023,Child,Paediatric Neurosurgery,op,31,2,0,0,32
8/31/2023,Child,Paediatric Respiratory Medicine,op,711,357,262,347,"1,677"
8/31/2023,Child,Paediatric Surgery,op,"2,230","1,298",582,22,"4,132"
8/31/2023,Child,Paediatric Urology,op,575,295,137,42,"1,049"
8/31/2023,Child,Paediatrics,op,"13,015","5,549","1,803",549,"20,916"
8/31/2023,Child,Pain Relief,op,16,4,2,2,23
8/31/2023,Child,Plastic Surgery,op,833,268,147,254,"1,502"
8/31/2023,Child,Rheumatology,op,309,163,162,576,"1,210"
8/31/2023,Child,Small Volume Specialities,op,79,18,13,2,111
8/31/2023,Child,Urology,op,"1,004",492,156,322,"1,974"
8/31/2023,Adult,Anaesthetics,ipdc,88,2,0,0,90
8/31/2023,Adult,Breast Surgery,ipdc,107,41,30,36,213
8/31/2023,Adult,Cardio-Thoracic Surgery,ipdc,284,33,7,21,345
8/31/2023,Adult,Cardiology,ipdc,"2,519",519,173,54,"3,265"
8/31/2023,Adult,Clinical Immunology,ipdc,208,127,58,10,403
8/31/2023,Adult,Dental Surgery,ipdc,44,6,2,4,55
8/31/2023,Adult,Dermatology,ipdc,658,153,75,35,921
8/31/2023,Adult,Endocrinology,ipdc,14,2,4,13,32
8/31/2023,Adult,Gastro-Enterology,ipdc,398,155,26,74,653
8/31/2023,Adult,Gastro-Intestinal Surgery,ipdc,281,158,81,113,633
8/31/2023,Adult,General Medicine,ipdc,164,31,12,9,215
8/31/2023,Adult,General Surgery,ipdc,"7,311","2,390","1,189","1,583","12,473"
8/31/2023,Adult,Geriatric Medicine,ipdc,19,4,2,0,25
8/31/2023,Adult,Gynaecology,ipdc,"3,878",981,350,476,"5,685"
8/31/2023,Adult,Haematology,ipdc,43,4,0,0,46
8/31/2023,Adult,Hepato-Biliary Surgery,ipdc,21,14,6,8,48
8/31/2023,Adult,Maxillo-Facial,ipdc,568,554,242,269,"1,633"
8/31/2023,Adult,Nephrology,ipdc,49,4,0,0,52
8/31/2023,Adult,Neurology,ipdc,190,20,14,13,236
8/31/2023,Adult,Neurosurgery,ipdc,393,220,135,47,794
8/31/2023,Adult,Oncology,ipdc,85,0,0,0,85
8/31/2023,Adult,Ophthalmology,ipdc,"5,733","1,853",543,477,"8,606"
8/31/2023,Adult,Orthopaedics,ipdc,"5,790","1,689",670,832,"8,981"
8/31/2023,Adult,Otolaryngology (ENT),ipdc,"2,922","1,146",651,598,"5,317"
8/31/2023,Adult,Pain Relief,ipdc,"3,438","1,299",313,350,"5,399"
8/31/2023,Adult,Plastic Surgery,ipdc,"3,448","1,235",596,860,"6,139"
8/31/2023,Adult,Radiology,ipdc,109,4,4,4,120
8/31/2023,Adult,Respiratory Medicine,ipdc,708,86,100,18,912
8/31/2023,Adult,Rheumatology,ipdc,497,104,78,27,706
8/31/2023,Adult,Small Volume Specialties,ipdc,7,0,0,0,7
8/31/2023,Adult,Urology,ipdc,"5,574","1,210",410,666,"7,860"
8/31/2023,Adult,Vascular Surgery,ipdc,"1,156",305,104,86,"1,651"
8/31/2023,Child,Cardio-Thoracic Surgery,ipdc,49,2,4,2,58
8/31/2023,Child,Clinical Immunology,ipdc,125,100,129,51,405
8/31/2023,Child,Dental Surgery,ipdc,169,66,39,56,331
8/31/2023,Child,General Surgery,ipdc,191,54,14,23,283
8/31/2023,Child,Immunology,ipdc,46,7,17,20,91
8/31/2023,Child,Maxillo-Facial,ipdc,84,48,38,19,189
8/31/2023,Child,Ophthalmology,ipdc,465,292,92,66,915
8/31/2023,Child,Orthopaedics,ipdc,185,75,62,31,353
8/31/2023,Child,Otolaryngology (ENT),ipdc,"1,134",230,22,18,"1,404"
8/31/2023,Child,Paed Cardiology,ipdc,127,63,9,5,205
8/31/2023,Child,Paed Orthopaedic,ipdc,378,188,87,145,798
8/31/2023,Child,Paediatric ENT,ipdc,626,119,44,24,813
8/31/2023,Child,Paediatric Neurosurgery,ipdc,30,9,4,2,45
8/31/2023,Child,Paediatric Radiology,ipdc,9,11,14,25,60
8/31/2023,Child,Paediatric Respiratory Medicine,ipdc,420,250,266,337,"1,274"
8/31/2023,Child,Paediatric Surgery,ipdc,496,203,57,21,777
8/31/2023,Child,Paediatric Urology,ipdc,271,146,38,79,534
8/31/2023,Child,Paediatrics,ipdc,91,21,4,4,121
8/31/2023,Child,Plastic Surgery,ipdc,287,103,40,65,495
8/31/2023,Child,Rheumatology,ipdc,31,30,11,5,77
8/31/2023,Child,Small Volume Specialties,ipdc,81,21,2,2,106
8/31/2023,Child,Urology,ipdc,237,95,14,11,358
9/28/2023,Adult,Breast Surgery,op,"2,114",11,0,0,"2,125"
9/28/2023,Adult,Cardio-Thoracic Surgery,op,310,39,26,25,400
9/28/2023,Adult,Cardiology,op,"22,377","9,302","3,705","1,836","37,220"
9/28/2023,Adult,Chemical Pathology,op,33,12,0,0,45
9/28/2023,Adult,Clinical (Medical) Genetics,op,849,749,688,774,"3,060"
9/28/2023,Adult,Clinical Immunology,op,"1,298",657,464,26,"2,445"
9/28/2023,Adult,Clinical Neurophysiology,op,650,411,386,287,"1,734"
9/28/2023,Adult,Dermatology,op,"27,815","9,563","4,386","5,728","47,492"
9/28/2023,Adult,Diabetes Mellitus,op,"1,265",424,102,65,"1,856"
9/28/2023,Adult,Endocrinology,op,"8,120","4,181","3,005","4,517","19,823"
9/28/2023,Adult,Gastro-Enterology,op,"11,126","3,921","1,199",498,"16,744"
9/28/2023,Adult,Gastro-Intestinal Surgery,op,112,110,21,17,260
9/28/2023,Adult,General Medicine,op,"9,746","4,170","2,206","2,197","18,319"
9/28/2023,Adult,General Surgery,op,"26,085","5,634","1,842","1,169","34,730"
9/28/2023,Adult,Geriatric Medicine,op,"3,302",434,125,90,"3,951"
9/28/2023,Adult,Gynaecology,op,"22,111","4,920","1,291",869,"29,191"
9/28/2023,Adult,Haematology,op,"5,410","1,860",954,710,"8,934"
9/28/2023,Adult,Hepato-Biliary Surgery,op,84,12,0,0,96
9/28/2023,Adult,Infectious Diseases,op,866,484,27,2,"1,379"
9/28/2023,Adult,Maxillo-Facial,op,"1,850",649,464,"1,156","4,119"
9/28/2023,Adult,Metabolic Medicine,op,108,14,8,2,132
9/28/2023,Adult,Microbiology,op,24,2,0,2,28
9/28/2023,Adult,Nephrology,op,"2,626",665,238,287,"3,816"
9/28/2023,Adult,Neurology,op,"10,450","4,870","2,430","5,000","22,750"
9/28/2023,Adult,Neurosurgery,op,"3,899","2,115","1,258","2,770","10,042"
9/28/2023,Adult,Oncology,op,522,9,0,0,531
9/28/2023,Adult,Ophthalmology,op,"16,557","7,318","3,743","5,907","33,525"
9/28/2023,Adult,Orthopaedics,op,"34,713","17,215","7,772","6,016","65,716"
9/28/2023,Adult,Otolaryngology (ENT),op,"19,698","8,952","3,511","5,436","37,597"
9/28/2023,Adult,Paediatric Dermatology,op,16,20,4,0,40
9/28/2023,Adult,Paediatric Neurology,op,7,14,2,0,23
9/28/2023,Adult,Paediatrics,op,114,68,38,8,228
9/28/2023,Adult,Pain Relief,op,"5,990","3,580","2,066","3,437","15,073"
9/28/2023,Adult,Palliative Medicine,op,27,9,0,0,36
9/28/2023,Adult,Pathology,op,56,32,43,59,190
9/28/2023,Adult,Plastic Surgery,op,"8,312","2,815","1,381","3,577","16,085"
9/28/2023,Adult,Psychiatry,op,394,26,8,2,430
9/28/2023,Adult,Radiotherapy,op,49,0,0,0,49
9/28/2023,Adult,Rehabilitation Medicine,op,24,0,0,0,24
9/28/2023,Adult,Respiratory Medicine,op,"11,897","5,288","1,947","2,666","21,798"
9/28/2023,Adult,Rheumatology,op,"8,391","2,781","1,430","1,825","14,427"
9/28/2023,Adult,Small Volume Specialities,op,94,30,8,8,140
9/28/2023,Adult,Urology,op,"12,672","5,101","1,763","3,274","22,810"
9/28/2023,Adult,Vascular Surgery,op,"8,776","2,528","1,968",970,"14,242"
9/28/2023,Child,Cardio-Thoracic Surgery,op,40,2,2,0,43
9/28/2023,Child,Cardiology,op,42,17,7,14,80
9/28/2023,Child,Clinical (Medical) Genetics,op,397,340,242,14,993
9/28/2023,Child,Clinical Immunology,op,364,217,95,175,851
9/28/2023,Child,Dental Surgery,op,213,87,52,16,368
9/28/2023,Child,Dermatology,op,"1,580",562,351,718,"3,211"
9/28/2023,Child,Developmental Paediatrics,op,379,235,211,255,"1,080"
9/28/2023,Child,Gastro-Enterology,op,18,9,0,0,27
9/28/2023,Child,General Medicine,op,18,4,0,2,23
9/28/2023,Child,General Surgery,op,857,375,149,158,"1,539"
9/28/2023,Child,Gynaecology,op,485,161,53,12,711
9/28/2023,Child,Haematology,op,91,17,4,0,112
9/28/2023,Child,Immunology,op,232,65,19,2,318
9/28/2023,Child,Maxillo-Facial,op,184,99,50,80,413
9/28/2023,Child,Neurology,op,22,7,4,2,34
9/28/2023,Child,Ophthalmology,op,"1,965",790,410,628,"3,793"
9/28/2023,Child,Orthopaedics,op,"1,492",666,345,454,"2,957"
9/28/2023,Child,Otolaryngology (ENT),op,"4,932","2,728",672,438,"8,770"
9/28/2023,Child,Paed Cardiology,op,"2,217","1,397",616,259,"4,489"
9/28/2023,Child,Paed Endocrinology,op,514,138,29,21,702
9/28/2023,Child,Paed Gastro-Enterol,op,552,196,77,81,906
9/28/2023,Child,Paed Haematology,op,241,40,2,0,283
9/28/2023,Child,Paed Metabolic Medicine,op,43,4,4,0,50
9/28/2023,Child,Paed Nephrology,op,315,150,39,5,509
9/28/2023,Child,Paed Orthopaedic,op,"1,846","1,023",683,603,"4,155"
9/28/2023,Child,Paediatric Dermatology,op,"2,879","1,468",889,"1,208","6,444"
9/28/2023,Child,Paediatric ENT,op,"2,969","1,956",784,"1,233","6,942"
9/28/2023,Child,Paediatric Infectious Diseases,op,41,4,2,0,46
9/28/2023,Child,Paediatric Neurology,op,695,355,23,2,"1,075"
9/28/2023,Child,Paediatric Neurosurgery,op,33,2,0,0,34
9/28/2023,Child,Paediatric Respiratory Medicine,op,654,402,239,322,"1,617"
9/28/2023,Child,Paediatric Surgery,op,"2,157","1,281",599,26,"4,063"
9/28/2023,Child,Paediatric Urology,op,559,297,150,50,"1,056"
9/28/2023,Child,Paediatrics,op,"12,833","5,721","1,802",588,"20,944"
9/28/2023,Child,Pain Relief,op,28,4,2,2,35
9/28/2023,Child,Plastic Surgery,op,796,257,148,257,"1,458"
9/28/2023,Child,Rheumatology,op,305,163,142,568,"1,178"
9/28/2023,Child,Small Volume Specialities,op,63,15,20,4,101
9/28/2023,Child,Urology,op,"1,026",492,172,326,"2,016"
9/28/2023,Adult,Anaesthetics,ipdc,70,0,0,0,70
9/28/2023,Adult,Breast Surgery,ipdc,118,35,26,42,221
9/28/2023,Adult,Cardio-Thoracic Surgery,ipdc,315,49,8,21,393
9/28/2023,Adult,Cardiology,ipdc,"2,725",500,116,37,"3,378"
9/28/2023,Adult,Clinical Immunology,ipdc,166,118,58,10,352
9/28/2023,Adult,Dental Surgery,ipdc,47,6,2,4,59
9/28/2023,Adult,Dermatology,ipdc,618,145,70,46,879
9/28/2023,Adult,Endocrinology,ipdc,18,2,4,14,38
9/28/2023,Adult,Gastro-Enterology,ipdc,465,151,24,58,698
9/28/2023,Adult,Gastro-Intestinal Surgery,ipdc,317,149,89,117,672
9/28/2023,Adult,General Medicine,ipdc,166,30,4,4,204
9/28/2023,Adult,General Surgery,ipdc,"7,335","2,333","1,106","1,527","12,301"
9/28/2023,Adult,Geriatric Medicine,ipdc,16,10,2,0,28
9/28/2023,Adult,Gynaecology,ipdc,"3,903",982,353,336,"5,574"
9/28/2023,Adult,Haematology,ipdc,37,4,0,0,41
9/28/2023,Adult,Hepato-Biliary Surgery,ipdc,28,10,4,7,49
9/28/2023,Adult,Maxillo-Facial,ipdc,542,486,262,236,"1,526"
9/28/2023,Adult,Nephrology,ipdc,57,2,0,0,59
9/28/2023,Adult,Neurology,ipdc,156,16,9,13,194
9/28/2023,Adult,Neurosurgery,ipdc,395,204,156,56,811
9/28/2023,Adult,Oncology,ipdc,62,2,0,0,64
9/28/2023,Adult,Ophthalmology,ipdc,"5,875","1,887",561,454,"8,777"
9/28/2023,Adult,Orthopaedics,ipdc,"5,856","1,657",672,760,"8,945"
9/28/2023,Adult,Otolaryngology (ENT),ipdc,"2,792","1,256",601,630,"5,279"
9/28/2023,Adult,Pain Relief,ipdc,"3,353","1,388",338,370,"5,449"
9/28/2023,Adult,Plastic Surgery,ipdc,"3,465","1,228",593,825,"6,111"
9/28/2023,Adult,Radiology,ipdc,157,6,4,4,171
9/28/2023,Adult,Respiratory Medicine,ipdc,706,85,99,13,903
9/28/2023,Adult,Rheumatology,ipdc,557,105,78,32,772
9/28/2023,Adult,Small Volume Specialties,ipdc,6,0,0,0,6
9/28/2023,Adult,Urology,ipdc,"5,571","1,104",390,632,"7,697"
9/28/2023,Adult,Vascular Surgery,ipdc,"1,260",329,99,76,"1,764"
9/28/2023,Child,Cardio-Thoracic Surgery,ipdc,52,9,2,5,68
9/28/2023,Child,Clinical Immunology,ipdc,120,107,109,48,384
9/28/2023,Child,Dental Surgery,ipdc,155,63,45,50,313
9/28/2023,Child,General Surgery,ipdc,167,56,6,23,252
9/28/2023,Child,Immunology,ipdc,53,9,17,17,96
9/28/2023,Child,Maxillo-Facial,ipdc,78,55,39,18,190
9/28/2023,Child,Ophthalmology,ipdc,435,301,108,73,917
9/28/2023,Child,Orthopaedics,ipdc,166,80,44,35,325
9/28/2023,Child,Otolaryngology (ENT),ipdc,"1,151",320,25,23,"1,519"
9/28/2023,Child,Paed Cardiology,ipdc,127,64,9,5,205
9/28/2023,Child,Paed Orthopaedic,ipdc,334,213,93,190,830
9/28/2023,Child,Paediatric ENT,ipdc,612,143,40,26,821
9/28/2023,Child,Paediatric Neurosurgery,ipdc,33,10,4,2,49
9/28/2023,Child,Paediatric Radiology,ipdc,12,9,15,25,61
9/28/2023,Child,Paediatric Respiratory Medicine,ipdc,386,260,272,316,"1,234"
9/28/2023,Child,Paediatric Surgery,ipdc,468,244,74,30,816
9/28/2023,Child,Paediatric Urology,ipdc,211,167,35,79,492
9/28/2023,Child,Paediatrics,ipdc,81,17,2,2,102
9/28/2023,Child,Plastic Surgery,ipdc,278,109,35,61,483
9/28/2023,Child,Rheumatology,ipdc,31,32,14,5,82
9/28/2023,Child,Small Volume Specialties,ipdc,69,21,6,4,100
9/28/2023,Child,Urology,ipdc,234,103,18,12,367
10/26/2023,Adult,Breast Surgery,op,"2,370",7,0,0,"2,377"
10/26/2023,Adult,Cardio-Thoracic Surgery,op,303,42,23,25,393
10/26/2023,Adult,Cardiology,op,"22,329","9,170","3,552","1,548","36,599"
10/26/2023,Adult,Chemical Pathology,op,48,11,2,0,61
10/26/2023,Adult,Clinical (Medical) Genetics,op,809,724,693,819,"3,045"
10/26/2023,Adult,Clinical Immunology,op,"1,408",660,424,45,"2,537"
10/26/2023,Adult,Clinical Neurophysiology,op,659,420,380,271,"1,730"
10/26/2023,Adult,Dermatology,op,"28,471","10,006","4,460","5,891","48,828"
10/26/2023,Adult,Diabetes Mellitus,op,"1,287",433,91,41,"1,852"
10/26/2023,Adult,Endocrinology,op,"8,208","4,224","2,920","4,369","19,721"
10/26/2023,Adult,Gastro-Enterology,op,"11,021","3,861","1,143",422,"16,447"
10/26/2023,Adult,Gastro-Intestinal Surgery,op,128,93,25,22,268
10/26/2023,Adult,General Medicine,op,"9,440","3,937","1,998","2,056","17,431"
10/26/2023,Adult,General Surgery,op,"25,642","5,310","1,658","1,091","33,701"
10/26/2023,Adult,Geriatric Medicine,op,"3,400",468,116,81,"4,065"
10/26/2023,Adult,Gynaecology,op,"22,159","4,794","1,202",852,"29,007"
10/26/2023,Adult,Haematology,op,"5,608","1,881",932,633,"9,054"
10/26/2023,Adult,Hepato-Biliary Surgery,op,74,4,0,0,78
10/26/2023,Adult,Infectious Diseases,op,827,479,60,2,"1,368"
10/26/2023,Adult,Maxillo-Facial,op,"1,855",611,435,"1,119","4,020"
10/26/2023,Adult,Metabolic Medicine,op,114,9,9,2,134
10/26/2023,Adult,Microbiology,op,36,2,0,0,38
10/26/2023,Adult,Nephrology,op,"2,585",648,221,246,"3,700"
10/26/2023,Adult,Neurology,op,"10,215","4,568","2,324","4,858","21,965"
10/26/2023,Adult,Neurosurgery,op,"3,925","1,858","1,243","2,820","9,846"
10/26/2023,Adult,Oncology,op,569,14,0,0,583
10/26/2023,Adult,Ophthalmology,op,"16,772","7,468","3,781","5,606","33,627"
10/26/2023,Adult,Orthopaedics,op,"35,885","16,556","7,292","5,886","65,619"
10/26/2023,Adult,Other,op,16,7,0,2,25
10/26/2023,Adult,Otolaryngology (ENT),op,"19,454","8,598","3,199","5,187","36,438"
10/26/2023,Adult,Paediatric Dermatology,op,13,18,4,0,35
10/26/2023,Adult,Paediatrics,op,132,74,32,6,244
10/26/2023,Adult,Pain Relief,op,"6,100","3,492","2,135","3,080","14,807"
10/26/2023,Adult,Palliative Medicine,op,24,11,0,0,35
10/26/2023,Adult,Pathology,op,56,32,48,47,183
10/26/2023,Adult,Plastic Surgery,op,"8,398","2,723","1,205","3,408","15,734"
10/26/2023,Adult,Psychiatry,op,361,21,11,2,395
10/26/2023,Adult,Radiotherapy,op,57,0,0,0,57
10/26/2023,Adult,Rehabilitation Medicine,op,24,2,0,0,26
10/26/2023,Adult,Respiratory Medicine,op,"11,547","5,331","1,871","2,533","21,282"
10/26/2023,Adult,Rheumatology,op,"7,758","2,868","1,374","1,508","13,508"
10/26/2023,Adult,Small Volume Specialities,op,74,41,12,6,133
10/26/2023,Adult,Urology,op,"12,940","4,992","1,591","3,040","22,563"
10/26/2023,Adult,Vascular Surgery,op,"8,661","2,511","1,876",849,"13,897"
10/26/2023,Child,Cardio-Thoracic Surgery,op,50,2,0,2,53
10/26/2023,Child,Cardiology,op,43,27,3,15,88
10/26/2023,Child,Clinical (Medical) Genetics,op,318,351,190,6,865
10/26/2023,Child,Clinical Immunology,op,349,214,104,167,834
10/26/2023,Child,Dental Surgery,op,206,80,57,19,362
10/26/2023,Child,Dermatology,op,"1,583",598,337,715,"3,233"
10/26/2023,Child,Developmental Paediatrics,op,398,203,218,272,"1,091"
10/26/2023,Child,Gastro-Enterology,op,18,8,2,0,27
10/26/2023,Child,General Medicine,op,14,7,2,2,24
10/26/2023,Child,General Surgery,op,895,336,145,144,"1,520"
10/26/2023,Child,Gynaecology,op,500,154,49,16,719
10/26/2023,Child,Haematology,op,80,22,2,2,105
10/26/2023,Child,Immunology,op,217,65,24,2,307
10/26/2023,Child,Maxillo-Facial,op,190,95,51,83,419
10/26/2023,Child,Neurology,op,35,3,2,2,41
10/26/2023,Child,Ophthalmology,op,"2,067",778,361,586,"3,792"
10/26/2023,Child,Orthopaedics,op,"1,515",688,329,452,"2,984"
10/26/2023,Child,Otolaryngology (ENT),op,"4,631","2,686",591,433,"8,341"
10/26/2023,Child,Paed Cardiology,op,"2,323","1,357",621,131,"4,432"
10/26/2023,Child,Paed Endocrinology,op,503,138,34,18,693
10/26/2023,Child,Paed Gastro-Enterol,op,563,200,69,81,913
10/26/2023,Child,Paed Haematology,op,221,42,2,0,265
10/26/2023,Child,Paed Metabolic Medicine,op,30,3,2,2,36
10/26/2023,Child,Paed Nephrology,op,317,154,34,2,507
10/26/2023,Child,Paed Orthopaedic,op,"1,912",982,724,609,"4,227"
10/26/2023,Child,Paediatric Dermatology,op,"2,898","1,532",842,"1,159","6,431"
10/26/2023,Child,Paediatric ENT,op,"2,840","1,888",780,"1,180","6,688"
10/26/2023,Child,Paediatric Infectious Diseases,op,36,2,3,0,41
10/26/2023,Child,Paediatric Neurology,op,700,349,28,2,"1,078"
10/26/2023,Child,Paediatric Neurosurgery,op,59,2,0,0,60
10/26/2023,Child,Paediatric Respiratory Medicine,op,671,384,212,298,"1,565"
10/26/2023,Child,Paediatric Surgery,op,"2,080","1,112",620,45,"3,857"
10/26/2023,Child,Paediatric Urology,op,528,322,149,62,"1,061"
10/26/2023,Child,Paediatrics,op,"12,279","5,389","1,799",557,"20,024"
10/26/2023,Child,Pain Relief,op,25,2,2,2,30
10/26/2023,Child,Plastic Surgery,op,832,250,140,245,"1,467"
