ArchiveDate,Adult_Child,HospitalName,0_6_months,6_12_months,12_18_months,18_plus_months,wait_total,care_type,County,Province
5/25/2023,Child,University Hospital Limerick,2597,855,416,275,4143,op,Limerick,Munster
5/25/2023,Child,University Hospital Waterford,2127,657,255,250,3289,op,Waterford,Munster
5/25/2023,Child,Wexford General Hospital,640,277,34,0,951,op,Wexford,Leinster
5/25/2023,Adult,Bantry General Hospital,87,33,21,15,156,ipdc,Cork,Munster
5/25/2023,Adult,Beaumont Hospital,"4,044","1,780",667,124,"6,616",ipdc,Dublin,Leinster
5/25/2023,Adult,Cavan General Hospital,272,4,0,2,278,ipdc,Cavan,Ulster
5/25/2023,Adult,Connolly Hospital Blanchardstown,935,146,18,0,"1,100",ipdc,Dublin,Leinster
5/25/2023,Adult,Coombe Women and Infants University Hospital,70,32,2,0,104,ipdc,Dublin,Leinster
5/25/2023,Adult,Cork University Hospital,702,283,178,256,"1,419",ipdc,Cork,Munster
5/25/2023,Adult,Cork University Maternity Hospital,457,107,28,18,610,ipdc,Cork,Munster
5/25/2023,Adult,Croom Orthopaedic Hospital,244,0,0,0,244,ipdc,Limerick,Munster
5/25/2023,Adult,Ennis Hospital,308,37,0,0,345,ipdc,Clare,Munster
5/25/2023,Adult,Galway University Hospitals,"4,442","2,405",944,"2,053","9,844",ipdc,Galway,Connacht
5/25/2023,Adult,Kilcreene Regional Orthopaedic Hospital,546,58,4,0,608,ipdc,Kilkenny,Leinster
5/25/2023,Adult,Letterkenny University Hospital,"1,193",381,140,328,"2,042",ipdc,Donegal,Ulster
5/25/2023,Adult,Louth County Hospital,456,2,0,0,458,ipdc,Louth,Leinster
5/25/2023,Adult,Mallow General Hospital,222,43,4,0,268,ipdc,Cork,Munster
5/25/2023,Adult,Mater Misericordiae University Hospital,"3,287",909,483,"1,000","5,679",ipdc,Dublin,Leinster
5/25/2023,Adult,Mayo University Hospital,465,141,55,89,750,ipdc,Mayo,Connacht
5/25/2023,Adult,Mercy University Hospital,556,154,84,38,832,ipdc,Cork,Munster
5/25/2023,Adult,Midland Regional Hospital Mullingar,645,155,68,8,876,ipdc,Westmeath,Leinster
5/25/2023,Adult,Midland Regional Hospital Portlaoise,143,87,25,10,264,ipdc,Laois,Leinster
5/25/2023,Adult,Midland Regional Hospital Tullamore,732,231,62,32,"1,057",ipdc,Offaly,Leinster
5/25/2023,Adult,Naas General Hospital,107,51,0,0,158,ipdc,Kildare,Leinster
5/25/2023,Adult,National Orthopaedic Hospital Cappagh,"1,320",307,21,31,"1,679",ipdc,Dublin,Leinster
5/25/2023,Adult,Nenagh Hospital,401,2,0,0,403,ipdc,Tipperary,Munster
5/25/2023,Adult,Our Lady of Lourdes Hospital Drogheda,535,135,4,0,674,ipdc,Louth,Leinster
5/25/2023,Adult,Our Lady's Hospital Navan,629,100,10,2,741,ipdc,Meath,Leinster
5/25/2023,Adult,Portiuncula University Hospital,432,130,29,2,593,ipdc,Galway,Connacht
5/25/2023,Adult,Roscommon University Hospital,521,148,51,55,776,ipdc,Roscommon,Connacht
5/25/2023,Adult,Royal Victoria Eye and Ear Hospital,"1,961",897,149,26,"3,033",ipdc,Dublin,Leinster
5/25/2023,Adult,Sligo University Hospital,"1,551",768,300,281,"2,900",ipdc,Sligo,Connacht
5/25/2023,Adult,South Infirmary Victoria University Hospital,"2,432",868,382,244,"3,926",ipdc,Cork,Munster
5/25/2023,Adult,St. Columcille's Hospital,484,139,39,26,689,ipdc,Dublin,Leinster
5/25/2023,Adult,St. James's Hospital,"3,455","1,436",636,"1,152","6,679",ipdc,Dublin,Leinster
5/25/2023,Adult,St. John's Hospital Limerick,576,125,10,0,711,ipdc,Limerick,Munster
5/25/2023,Adult,St. Luke's General Hospital Kilkenny,503,214,92,37,847,ipdc,Kilkenny,Leinster
5/25/2023,Adult,St. Michael's Hospital,587,247,32,15,881,ipdc,Dublin,Leinster
5/25/2023,Adult,St. Vincent's University Hospital,"2,650",714,244,464,"4,073",ipdc,Dublin,Leinster
5/25/2023,Adult,Tallaght University Hospital,"1,751",380,141,129,"2,401",ipdc,Dublin,Leinster
5/25/2023,Adult,Tipperary University Hospital,302,30,0,0,333,ipdc,Tipperary,Munster
5/25/2023,Adult,University Hospital Kerry,202,20,0,0,222,ipdc,Kerry,Munster
5/25/2023,Adult,University Hospital Limerick,"1,731",923,108,4,"2,766",ipdc,Limerick,Munster
5/25/2023,Adult,University Hospital Waterford,"3,556","1,093",580,977,"6,207",ipdc,Waterford,Munster
5/25/2023,Adult,Wexford General Hospital,415,177,100,34,727,ipdc,Wexford,Leinster
5/25/2023,Child,Beaumont Hospital,20,4,8,0,32,ipdc,Dublin,Leinster
5/25/2023,Child,Children's Health Ireland,"3,395","1,686",730,935,"6,746",ipdc,Dublin,Leinster
5/25/2023,Child,Cork University Hospital,134,44,12,18,209,ipdc,Cork,Munster
5/25/2023,Child,Ennis Hospital,20,0,0,0,20,ipdc,Clare,Munster
5/25/2023,Child,Galway University Hospitals,228,84,40,79,432,ipdc,Galway,Connacht
5/25/2023,Child,Letterkenny University Hospital,26,22,8,11,67,ipdc,Donegal,Ulster
5/25/2023,Child,Mercy University Hospital,82,7,2,0,91,ipdc,Cork,Munster
5/25/2023,Child,Midland Regional Hospital Mullingar,28,11,2,0,41,ipdc,Westmeath,Leinster
5/25/2023,Child,Midland Regional Hospital Tullamore,91,4,0,0,95,ipdc,Offaly,Leinster
5/25/2023,Child,National Orthopaedic Hospital Cappagh,114,72,37,18,241,ipdc,Dublin,Leinster
5/25/2023,Child,Our Lady of Lourdes Hospital Drogheda,75,14,0,0,89,ipdc,Louth,Leinster
5/25/2023,Child,Portiuncula University Hospital,25,6,2,2,35,ipdc,Galway,Connacht
5/25/2023,Child,Royal Victoria Eye and Ear Hospital,103,14,6,2,125,ipdc,Dublin,Leinster
5/25/2023,Child,Sligo University Hospital,184,54,10,6,255,ipdc,Sligo,Connacht
5/25/2023,Child,Small Volume Hospitals,49,6,0,0,56,ipdc,N/A,N/A
5/25/2023,Child,South Infirmary Victoria University Hospital,181,26,10,0,218,ipdc,Cork,Munster
5/25/2023,Child,University Hospital Limerick,330,115,6,2,454,ipdc,Limerick,Munster
5/25/2023,Child,University Hospital Waterford,187,41,14,6,249,ipdc,Waterford,Munster
5/25/2023,Child,Wexford General Hospital,20,2,0,0,22,ipdc,Wexford,Leinster
6/29/2023,Adult,Bantry General Hospital,688,171,69,2,930,op,Cork,Munster
6/29/2023,Adult,Beaumont Hospital,23814,7937,1375,8,33135,op,Dublin,Leinster
6/29/2023,Adult,Cavan General Hospital,4629,2140,916,6,7692,op,Cavan,Ulster
6/29/2023,Adult,Connolly Hospital Blanchardstown,4795,396,66,2,5260,op,Dublin,Leinster
6/29/2023,Adult,Coombe Women and Infants University Hospital,1681,648,248,198,2775,op,Dublin,Leinster
6/29/2023,Adult,Cork University Hospital,13057,6404,4382,7290,31134,op,Cork,Munster
6/29/2023,Adult,Cork University Maternity Hospital,2194,145,15,2,2356,op,Cork,Munster
6/29/2023,Adult,Croom Orthopaedic Hospital,2733,924,433,612,4702,op,Limerick,Munster
6/29/2023,Adult,Ennis Hospital,571,312,72,8,963,op,Clare,Munster
6/29/2023,Adult,Galway University Hospitals,20566,9731,5943,11619,47859,op,Galway,Connacht
6/29/2023,Adult,Letterkenny University Hospital,7441,2626,1553,3292,14913,op,Donegal,Ulster
6/29/2023,Adult,Louth County Hospital,1897,732,134,0,2763,op,Louth,Leinster
6/29/2023,Adult,Mallow General Hospital,2364,844,219,133,3560,op,Cork,Munster
6/29/2023,Adult,Mater Misericordiae University Hospital,22311,6824,3067,7010,39213,op,Dublin,Leinster
6/29/2023,Adult,Mayo University Hospital,4209,1865,901,1285,8260,op,Mayo,Connacht
6/29/2023,Adult,Mercy University Hospital,3148,1169,600,1150,6068,op,Cork,Munster
6/29/2023,Adult,Midland Regional Hospital Mullingar,4320,2117,1342,1367,9146,op,Westmeath,Leinster
6/29/2023,Adult,Midland Regional Hospital Portlaoise,1998,1106,655,472,4231,op,Laois,Leinster
6/29/2023,Adult,Midland Regional Hospital Tullamore,7880,2964,693,190,11727,op,Offaly,Leinster
6/29/2023,Adult,Naas General Hospital,5466,2168,1028,473,9135,op,Kildare,Leinster
6/29/2023,Adult,National Maternity Hospital (Holles Street),2159,365,23,0,2547,op,Dublin,Leinster
6/29/2023,Adult,National Orthopaedic Hospital Cappagh,2026,1506,271,75,3878,op,Dublin,Leinster
6/29/2023,Adult,Nenagh Hospital,425,242,94,29,790,op,Tipperary,Munster
6/29/2023,Adult,Our Lady of Lourdes Hospital Drogheda,7569,3070,826,108,11574,op,Louth,Leinster
6/29/2023,Adult,Our Lady's Hospital Navan,3576,1414,517,742,6249,op,Meath,Leinster
6/29/2023,Adult,Portiuncula University Hospital,1970,511,199,414,3095,op,Galway,Connacht
6/29/2023,Adult,Roscommon University Hospital,3468,1386,724,629,6207,op,Roscommon,Connacht
6/29/2023,Adult,Rotunda Hospital,3126,48,0,0,3174,op,Dublin,Leinster
6/29/2023,Adult,Royal Victoria Eye and Ear Hospital,5339,2353,1821,2919,12432,op,Dublin,Leinster
6/29/2023,Adult,Sligo University Hospital,8292,3259,1737,2487,15775,op,Sligo,Connacht
6/29/2023,Adult,South Infirmary Victoria University Hospital,10553,4886,2827,5613,23879,op,Cork,Munster
6/29/2023,Adult,St. Columcille's Hospital,2403,1802,1535,3004,8745,op,Dublin,Leinster
6/29/2023,Adult,St. James's Hospital,15974,5072,2023,2298,25367,op,Dublin,Leinster
6/29/2023,Adult,St. John's Hospital Limerick,652,219,238,101,1210,op,Limerick,Munster
6/29/2023,Adult,St. Luke's General Hospital Kilkenny,3724,1103,372,16,5216,op,Kilkenny,Leinster
6/29/2023,Adult,St. Michael's Hospital,2709,942,279,218,4148,op,Dublin,Leinster
6/29/2023,Adult,St. Vincent's University Hospital,17760,5404,1284,543,24992,op,Dublin,Leinster
6/29/2023,Adult,Tallaght University Hospital,13397,8359,5230,8077,35064,op,Dublin,Leinster
6/29/2023,Adult,Tipperary University Hospital,2273,644,291,137,3345,op,Tipperary,Munster
6/29/2023,Adult,University Hospital Kerry,5615,1840,841,416,8712,op,Kerry,Munster
6/29/2023,Adult,University Hospital Limerick,13889,5717,3016,2304,24927,op,Limerick,Munster
6/29/2023,Adult,University Hospital Waterford,16986,6430,3337,4713,31467,op,Waterford,Munster
6/29/2023,Adult,Wexford General Hospital,2958,782,199,2,3941,op,Wexford,Leinster
6/29/2023,Child,Beaumont Hospital,65,15,0,0,79,op,Dublin,Leinster
6/29/2023,Child,Cavan General Hospital,1087,325,23,2,1437,op,Cavan,Ulster
6/29/2023,Child,Children's Health Ireland,21266,10028,5223,6115,42632,op,Dublin,Leinster
6/29/2023,Child,Coombe Women and Infants University Hospital,40,9,0,0,49,op,Dublin,Leinster
6/29/2023,Child,Cork University Hospital,3038,1404,472,576,5491,op,Cork,Munster
6/29/2023,Child,Cork University Maternity Hospital,47,0,0,0,47,op,Cork,Munster
6/29/2023,Child,Croom Orthopaedic Hospital,118,19,4,12,153,op,Limerick,Munster
6/29/2023,Child,Ennis Hospital,61,2,2,2,66,op,Clare,Munster
6/29/2023,Child,Galway University Hospitals,3186,1651,842,1052,6730,op,Galway,Connacht
6/29/2023,Child,Letterkenny University Hospital,1069,299,198,349,1916,op,Donegal,Ulster
6/29/2023,Child,Mallow General Hospital,263,72,2,0,337,op,Cork,Munster
6/29/2023,Child,Mayo University Hospital,861,235,121,159,1376,op,Mayo,Connacht
6/29/2023,Child,Mercy University Hospital,278,73,5,4,360,op,Cork,Munster
6/29/2023,Child,Midland Regional Hospital Mullingar,883,248,187,127,1445,op,Westmeath,Leinster
6/29/2023,Child,Midland Regional Hospital Portlaoise,641,307,106,32,1086,op,Laois,Leinster
6/29/2023,Child,Midland Regional Hospital Tullamore,1001,403,95,49,1548,op,Offaly,Leinster
6/29/2023,Child,National Maternity Hospital (Holles Street),55,20,2,0,76,op,Dublin,Leinster
6/29/2023,Child,National Orthopaedic Hospital Cappagh,240,111,25,2,378,op,Dublin,Leinster
6/29/2023,Child,Nenagh Hospital,28,2,2,0,31,op,Tipperary,Munster
6/29/2023,Child,Our Lady of Lourdes Hospital Drogheda,2247,1098,522,28,3895,op,Louth,Leinster
6/29/2023,Child,Portiuncula University Hospital,465,18,14,31,528,op,Galway,Connacht
6/29/2023,Child,Rotunda Hospital,39,2,0,0,41,op,Dublin,Leinster
6/29/2023,Child,Royal Victoria Eye and Ear Hospital,365,115,65,32,577,op,Dublin,Leinster
6/29/2023,Child,Sligo University Hospital,1442,460,168,141,2211,op,Sligo,Connacht
6/29/2023,Child,Small Volume Hospitals,9,5,0,2,16,op,N/A,N/A
6/29/2023,Child,South Infirmary Victoria University Hospital,1808,531,239,240,2818,op,Cork,Munster
6/29/2023,Child,St. Luke's General Hospital Kilkenny,438,17,5,2,463,op,Kilkenny,Leinster
6/29/2023,Child,Tallaght University Hospital,36,2,0,0,38,op,Dublin,Leinster
6/29/2023,Child,Tipperary University Hospital,349,89,5,0,443,op,Tipperary,Munster
6/29/2023,Child,University Hospital Kerry,712,211,102,97,1122,op,Kerry,Munster
6/29/2023,Child,University Hospital Limerick,2651,813,355,178,3997,op,Limerick,Munster
6/29/2023,Child,University Hospital Waterford,2210,661,232,236,3338,op,Waterford,Munster
6/29/2023,Child,Wexford General Hospital,614,289,38,0,941,op,Wexford,Leinster
6/29/2023,Adult,Bantry General Hospital,96,34,22,19,171,ipdc,Cork,Munster
6/29/2023,Adult,Beaumont Hospital,"4,130","1,658",713,154,"6,654",ipdc,Dublin,Leinster
6/29/2023,Adult,Cavan General Hospital,349,0,0,0,349,ipdc,Cavan,Ulster
6/29/2023,Adult,Connolly Hospital Blanchardstown,931,109,2,0,"1,042",ipdc,Dublin,Leinster
6/29/2023,Adult,Coombe Women and Infants University Hospital,84,31,0,0,115,ipdc,Dublin,Leinster
6/29/2023,Adult,Cork University Hospital,738,288,178,262,"1,465",ipdc,Cork,Munster
6/29/2023,Adult,Cork University Maternity Hospital,483,116,35,19,653,ipdc,Cork,Munster
6/29/2023,Adult,Croom Orthopaedic Hospital,275,2,0,2,279,ipdc,Limerick,Munster
6/29/2023,Adult,Ennis Hospital,289,17,0,0,306,ipdc,Clare,Munster
6/29/2023,Adult,Galway University Hospitals,"4,661","2,266","1,003","1,779","9,708",ipdc,Galway,Connacht
6/29/2023,Adult,Kilcreene Regional Orthopaedic Hospital,558,63,2,0,623,ipdc,Kilkenny,Leinster
6/29/2023,Adult,Letterkenny University Hospital,"1,249",344,141,271,"2,005",ipdc,Donegal,Ulster
6/29/2023,Adult,Louth County Hospital,357,2,0,0,359,ipdc,Louth,Leinster
6/29/2023,Adult,Mallow General Hospital,248,53,0,0,301,ipdc,Cork,Munster
6/29/2023,Adult,Mater Misericordiae University Hospital,"3,117",869,485,"1,004","5,475",ipdc,Dublin,Leinster
6/29/2023,Adult,Mayo University Hospital,496,106,53,56,711,ipdc,Mayo,Connacht
6/29/2023,Adult,Mercy University Hospital,604,180,79,33,895,ipdc,Cork,Munster
6/29/2023,Adult,Midland Regional Hospital Mullingar,699,155,37,37,928,ipdc,Westmeath,Leinster
6/29/2023,Adult,Midland Regional Hospital Portlaoise,114,74,27,6,221,ipdc,Laois,Leinster
6/29/2023,Adult,Midland Regional Hospital Tullamore,643,195,55,14,907,ipdc,Offaly,Leinster
6/29/2023,Adult,Naas General Hospital,116,31,4,0,151,ipdc,Kildare,Leinster
6/29/2023,Adult,National Orthopaedic Hospital Cappagh,"1,433",319,29,27,"1,808",ipdc,Dublin,Leinster
6/29/2023,Adult,Nenagh Hospital,362,4,0,0,366,ipdc,Tipperary,Munster
6/29/2023,Adult,Our Lady of Lourdes Hospital Drogheda,573,133,6,0,712,ipdc,Louth,Leinster
6/29/2023,Adult,Our Lady's Hospital Navan,592,93,15,4,704,ipdc,Meath,Leinster
6/29/2023,Adult,Portiuncula University Hospital,425,129,19,6,579,ipdc,Galway,Connacht
6/29/2023,Adult,Roscommon University Hospital,574,135,45,39,793,ipdc,Roscommon,Connacht
6/29/2023,Adult,Royal Victoria Eye and Ear Hospital,"2,062",863,171,33,"3,129",ipdc,Dublin,Leinster
6/29/2023,Adult,Sligo University Hospital,"1,571",672,316,214,"2,772",ipdc,Sligo,Connacht
6/29/2023,Adult,South Infirmary Victoria University Hospital,"2,350",628,335,234,"3,546",ipdc,Cork,Munster
6/29/2023,Adult,St. Columcille's Hospital,398,136,51,22,607,ipdc,Dublin,Leinster
6/29/2023,Adult,St. James's Hospital,"3,553","1,584",662,"1,125","6,924",ipdc,Dublin,Leinster
6/29/2023,Adult,St. John's Hospital Limerick,521,148,9,0,678,ipdc,Limerick,Munster
6/29/2023,Adult,St. Luke's General Hospital Kilkenny,418,222,103,44,787,ipdc,Kilkenny,Leinster
6/29/2023,Adult,St. Michael's Hospital,543,264,46,9,861,ipdc,Dublin,Leinster
6/29/2023,Adult,St. Vincent's University Hospital,"2,632",662,268,458,"4,019",ipdc,Dublin,Leinster
6/29/2023,Adult,Tallaght University Hospital,"1,836",375,147,133,"2,491",ipdc,Dublin,Leinster
6/29/2023,Adult,Tipperary University Hospital,325,32,0,0,357,ipdc,Tipperary,Munster
6/29/2023,Adult,University Hospital Kerry,174,26,0,0,200,ipdc,Kerry,Munster
6/29/2023,Adult,University Hospital Limerick,"1,796",854,145,11,"2,805",ipdc,Limerick,Munster
6/29/2023,Adult,University Hospital Waterford,"3,504","1,077",604,905,"6,089",ipdc,Waterford,Munster
6/29/2023,Adult,Wexford General Hospital,411,133,77,34,655,ipdc,Wexford,Leinster
6/29/2023,Child,Beaumont Hospital,26,4,6,0,35,ipdc,Dublin,Leinster
6/29/2023,Child,Children's Health Ireland,"3,588","1,671",715,959,"6,933",ipdc,Dublin,Leinster
6/29/2023,Child,Cork University Hospital,127,55,21,17,220,ipdc,Cork,Munster
6/29/2023,Child,Galway University Hospitals,231,86,45,71,434,ipdc,Galway,Connacht
6/29/2023,Child,Letterkenny University Hospital,31,15,11,11,67,ipdc,Donegal,Ulster
6/29/2023,Child,Mercy University Hospital,70,11,2,0,82,ipdc,Cork,Munster
6/29/2023,Child,Midland Regional Hospital Mullingar,24,8,0,0,31,ipdc,Westmeath,Leinster
6/29/2023,Child,Midland Regional Hospital Tullamore,109,4,0,0,112,ipdc,Offaly,Leinster
6/29/2023,Child,National Orthopaedic Hospital Cappagh,132,65,41,17,255,ipdc,Dublin,Leinster
6/29/2023,Child,Nenagh Hospital,29,0,0,0,29,ipdc,Tipperary,Munster
6/29/2023,Child,Our Lady of Lourdes Hospital Drogheda,67,8,0,0,74,ipdc,Louth,Leinster
6/29/2023,Child,Portiuncula University Hospital,24,6,4,0,34,ipdc,Galway,Connacht
6/29/2023,Child,Royal Victoria Eye and Ear Hospital,113,16,8,2,138,ipdc,Dublin,Leinster
6/29/2023,Child,Sligo University Hospital,212,50,16,4,281,ipdc,Sligo,Connacht
6/29/2023,Child,Small Volume Hospitals,58,6,0,0,63,ipdc,N/A,N/A
6/29/2023,Child,South Infirmary Victoria University Hospital,161,29,16,2,209,ipdc,Cork,Munster
6/29/2023,Child,University Hospital Limerick,344,153,10,4,511,ipdc,Limerick,Munster
6/29/2023,Child,University Hospital Waterford,208,36,15,9,268,ipdc,Waterford,Munster
6/29/2023,Child,Wexford General Hospital,26,2,0,0,28,ipdc,Wexford,Leinster
7/27/2023,Adult,Bantry General Hospital,742,169,61,4,977,op,Cork,Munster
7/27/2023,Adult,Beaumont Hospital,24840,8652,1587,6,35086,op,Dublin,Leinster
7/27/2023,Adult,Cavan General Hospital,4790,2112,984,9,7896,op,Cavan,Ulster
7/27/2023,Adult,Connolly Hospital Blanchardstown,4968,288,114,2,5373,op,Dublin,Leinster
7/27/2023,Adult,Coombe Women and Infants University Hospital,1910,715,254,143,3022,op,Dublin,Leinster
7/27/2023,Adult,Cork University Hospital,13519,6389,4349,7052,31309,op,Cork,Munster
7/27/2023,Adult,Cork University Maternity Hospital,2400,78,12,0,2490,op,Cork,Munster
7/27/2023,Adult,Croom Orthopaedic Hospital,2915,909,466,524,4814,op,Limerick,Munster
7/27/2023,Adult,Ennis Hospital,598,325,106,9,1039,op,Clare,Munster
7/27/2023,Adult,Galway University Hospitals,21129,8653,5987,10598,46368,op,Galway,Connacht
7/27/2023,Adult,Letterkenny University Hospital,7165,2285,1524,2792,13767,op,Donegal,Ulster
7/27/2023,Adult,Louth County Hospital,1853,602,95,0,2550,op,Louth,Leinster
7/27/2023,Adult,Mallow General Hospital,2283,947,236,141,3607,op,Cork,Munster
7/27/2023,Adult,Mater Misericordiae University Hospital,22191,6879,3216,6670,38956,op,Dublin,Leinster
7/27/2023,Adult,Mayo University Hospital,4251,1889,984,1268,8392,op,Mayo,Connacht
7/27/2023,Adult,Mercy University Hospital,3280,1110,615,1186,6191,op,Cork,Munster
7/27/2023,Adult,Midland Regional Hospital Mullingar,4458,1940,1456,1324,9179,op,Westmeath,Leinster
7/27/2023,Adult,Midland Regional Hospital Portlaoise,2066,1063,671,514,4315,op,Laois,Leinster
7/27/2023,Adult,Midland Regional Hospital Tullamore,8538,2829,717,52,12136,op,Offaly,Leinster
7/27/2023,Adult,Naas General Hospital,5673,2138,1063,377,9252,op,Kildare,Leinster
7/27/2023,Adult,National Maternity Hospital (Holles Street),2240,320,15,0,2575,op,Dublin,Leinster
7/27/2023,Adult,National Orthopaedic Hospital Cappagh,1774,1458,330,72,3634,op,Dublin,Leinster
7/27/2023,Adult,Nenagh Hospital,436,236,120,25,817,op,Tipperary,Munster
7/27/2023,Adult,Our Lady of Lourdes Hospital Drogheda,7904,2704,772,75,11456,op,Louth,Leinster
7/27/2023,Adult,Our Lady's Hospital Navan,3547,1268,439,636,5890,op,Meath,Leinster
7/27/2023,Adult,Portiuncula University Hospital,1990,483,193,357,3024,op,Galway,Connacht
7/27/2023,Adult,Roscommon University Hospital,3435,1306,776,475,5992,op,Roscommon,Connacht
7/27/2023,Adult,Rotunda Hospital,3263,79,2,0,3344,op,Dublin,Leinster
7/27/2023,Adult,Royal Victoria Eye and Ear Hospital,5461,2499,1846,2661,12467,op,Dublin,Leinster
7/27/2023,Adult,Sligo University Hospital,8621,2934,1757,2398,15711,op,Sligo,Connacht
7/27/2023,Adult,South Infirmary Victoria University Hospital,11018,4956,2982,5582,24539,op,Cork,Munster
7/27/2023,Adult,St. Columcille's Hospital,2206,1659,1598,3115,8579,op,Dublin,Leinster
7/27/2023,Adult,St. James's Hospital,16879,4679,2163,2257,25978,op,Dublin,Leinster
7/27/2023,Adult,St. John's Hospital Limerick,605,213,171,106,1095,op,Limerick,Munster
7/27/2023,Adult,St. Luke's General Hospital Kilkenny,3787,1068,418,10,5284,op,Kilkenny,Leinster
7/27/2023,Adult,St. Michael's Hospital,2774,851,288,220,4134,op,Dublin,Leinster
7/27/2023,Adult,St. Vincent's University Hospital,18229,5382,1409,429,25450,op,Dublin,Leinster
7/27/2023,Adult,Tallaght University Hospital,13483,7955,5380,7577,34395,op,Dublin,Leinster
7/27/2023,Adult,Tipperary University Hospital,2404,637,289,123,3454,op,Tipperary,Munster
7/27/2023,Adult,University Hospital Kerry,6175,1641,814,345,8976,op,Kerry,Munster
7/27/2023,Adult,University Hospital Limerick,14505,5554,3072,2007,25139,op,Limerick,Munster
7/27/2023,Adult,University Hospital Waterford,18063,6502,3556,4772,32894,op,Waterford,Munster
7/27/2023,Adult,Wexford General Hospital,2986,750,223,18,3978,op,Wexford,Leinster
7/27/2023,Child,Beaumont Hospital,61,16,0,0,77,op,Dublin,Leinster
7/27/2023,Child,Cavan General Hospital,1026,386,19,0,1430,op,Cavan,Ulster
7/27/2023,Child,Children's Health Ireland,21211,10250,5472,5676,42609,op,Dublin,Leinster
7/27/2023,Child,Coombe Women and Infants University Hospital,38,16,0,0,54,op,Dublin,Leinster
7/27/2023,Child,Cork University Hospital,3018,1411,516,579,5524,op,Cork,Munster
7/27/2023,Child,Cork University Maternity Hospital,43,0,0,0,43,op,Cork,Munster
7/27/2023,Child,Croom Orthopaedic Hospital,125,17,8,11,161,op,Limerick,Munster
7/27/2023,Child,Ennis Hospital,61,4,0,0,65,op,Clare,Munster
7/27/2023,Child,Galway University Hospitals,3124,1572,827,1025,6548,op,Galway,Connacht
7/27/2023,Child,Letterkenny University Hospital,1037,309,199,315,1860,op,Donegal,Ulster
7/27/2023,Child,Mallow General Hospital,264,99,5,0,368,op,Cork,Munster
7/27/2023,Child,Mayo University Hospital,848,224,121,116,1309,op,Mayo,Connacht
7/27/2023,Child,Mercy University Hospital,307,76,6,4,393,op,Cork,Munster
7/27/2023,Child,Midland Regional Hospital Mullingar,865,248,177,123,1413,op,Westmeath,Leinster
7/27/2023,Child,Midland Regional Hospital Portlaoise,627,303,119,33,1083,op,Laois,Leinster
7/27/2023,Child,Midland Regional Hospital Tullamore,1081,412,90,14,1597,op,Offaly,Leinster
7/27/2023,Child,National Maternity Hospital (Holles Street),54,19,0,0,73,op,Dublin,Leinster
7/27/2023,Child,National Orthopaedic Hospital Cappagh,265,114,38,8,425,op,Dublin,Leinster
7/27/2023,Child,Nenagh Hospital,29,2,2,0,33,op,Tipperary,Munster
7/27/2023,Child,Our Lady of Lourdes Hospital Drogheda,2223,1164,571,22,3979,op,Louth,Leinster
7/27/2023,Child,Portiuncula University Hospital,445,18,15,25,502,op,Galway,Connacht
7/27/2023,Child,Rotunda Hospital,38,2,0,0,40,op,Dublin,Leinster
7/27/2023,Child,Royal Victoria Eye and Ear Hospital,369,125,60,34,588,op,Dublin,Leinster
7/27/2023,Child,Sligo University Hospital,1411,436,157,152,2156,op,Sligo,Connacht
7/27/2023,Child,Small Volume Hospitals,7,5,0,2,14,op,N/A,N/A
7/27/2023,Child,South Infirmary Victoria University Hospital,1790,526,268,222,2806,op,Cork,Munster
7/27/2023,Child,St. Luke's General Hospital Kilkenny,405,16,4,2,427,op,Kilkenny,Leinster
7/27/2023,Child,Tallaght University Hospital,28,5,0,0,33,op,Dublin,Leinster
7/27/2023,Child,Tipperary University Hospital,341,68,11,0,421,op,Tipperary,Munster
7/27/2023,Child,University Hospital Kerry,702,221,113,88,1124,op,Kerry,Munster
7/27/2023,Child,University Hospital Limerick,2692,796,387,171,4046,op,Limerick,Munster
7/27/2023,Child,University Hospital Waterford,2223,726,242,238,3428,op,Waterford,Munster
7/27/2023,Child,Wexford General Hospital,638,287,69,0,993,op,Wexford,Leinster
7/27/2023,Adult,Bantry General Hospital,103,28,27,21,179,ipdc,Cork,Munster
7/27/2023,Adult,Beaumont Hospital,"4,060","1,663",720,188,"6,630",ipdc,Dublin,Leinster
7/27/2023,Adult,Cavan General Hospital,353,0,0,0,353,ipdc,Cavan,Ulster
7/27/2023,Adult,Connolly Hospital Blanchardstown,911,56,4,0,971,ipdc,Dublin,Leinster
7/27/2023,Adult,Coombe Women and Infants University Hospital,86,38,4,0,128,ipdc,Dublin,Leinster
7/27/2023,Adult,Cork University Hospital,706,269,169,253,"1,396",ipdc,Cork,Munster
7/27/2023,Adult,Cork University Maternity Hospital,489,127,43,19,678,ipdc,Cork,Munster
7/27/2023,Adult,Croom Orthopaedic Hospital,334,2,0,0,336,ipdc,Limerick,Munster
7/27/2023,Adult,Ennis Hospital,323,13,0,0,336,ipdc,Clare,Munster
7/27/2023,Adult,Galway University Hospitals,"4,758","2,019","1,097","1,596","9,469",ipdc,Galway,Connacht
7/27/2023,Adult,Kilcreene Regional Orthopaedic Hospital,577,52,2,0,631,ipdc,Kilkenny,Leinster
7/27/2023,Adult,Letterkenny University Hospital,"1,357",317,151,234,"2,059",ipdc,Donegal,Ulster
